6,2,19,15,4,5
1,4,9,10,5,10
100,4,17,6,18,3
19,100,8,5,4,9
6,13,100,11,5,6
3,7,6,100,9,17
12,19,18,15,3,17
8,9,7,18,6,15
17,18,14,16,4,16
11,15,14,15,12,19
5,2,7,5,5,5
9,9,4,16,9,6
5,2,4,8,1,13
19,4,12,17,13,7
100,12,16,17,5,7
11,100,18,8,6,2
10,9,100,4,5,19
1,4,12,100,17,15
130,13,12,11,12,17
130,14,14,8,1,10
130,17,7,2,10,12
130,4,12,12,6,1
130,7,2,1,2,1
130,13,16,16,19,15
1,19,6,4,11,16
19,19,7,5,2,6
100,2,6,7,13,1
5,100,10,17,14,10
11,6,100,12,10,11
7,4,3,100,7,18
8,130,5,2,19,6
15,130,15,18,2,16
8,130,5,5,14,2
17,130,13,9,2,9
5,130,5,6,18,7
4,130,3,19,11,12
8,19,6,3,6,5
2,9,11,5,6,16
100,4,15,10,17,14
1,100,8,8,11,8
1,8,100,2,4,17
18,3,1,100,12,1
8,1,130,4,18,6
6,19,130,7,12,14
16,17,130,7,2,14
19,15,130,14,5,11
1,17,130,2,4,2
1,1,130,5,16,3
13,6,3,17,2,1
13,1,11,9,10,10
100,5,10,5,4,10
14,100,11,7,18,17
6,4,100,11,16,11
4,16,17,100,14,2
12,5,10,130,8,10
16,9,7,130,18,16
16,16,7,130,19,3
15,12,19,130,3,9
4,16,18,130,15,9
12,3,7,130,8,9
-100,-100,-100,12,2,-250
-100,-100,-100,18,5,-250
100,-100,-100,16,8,-250
-100,100,-100,5,18,-250
-100,-100,100,12,15,-250
-100,-100,-100,100,15,-250
-100,-100,-100,6,7,250
-100,-100,-100,9,7,250
-100,-100,-100,9,11,250
-100,-100,-100,15,11,250
-100,-100,-100,11,13,250
-100,-100,-100,5,6,250
-100,-100,-100,19,16,-250
-100,-100,-100,15,11,-250
100,-100,-100,2,7,-250
-100,100,-100,17,13,-250
-100,-100,100,19,8,-250
-100,-100,-100,100,19,-250
130,-100,-100,12,7,250
130,-100,-100,1,4,250
130,-100,-100,17,9,250
130,-100,-100,2,3,250
130,-100,-100,16,18,250
130,-100,-100,4,18,250
-100,-100,-100,19,8,-250
-100,-100,-100,18,5,-250
100,-100,-100,16,19,-250
-100,100,-100,3,1,-250
-100,-100,100,3,1,-250
-100,-100,-100,100,7,-250
-100,130,-100,12,17,250
-100,130,-100,14,4,250
-100,130,-100,16,6,250
-100,130,-100,8,7,250
-100,130,-100,10,4,250
-100,130,-100,9,19,250
-100,-100,-100,10,19,-250
-100,-100,-100,3,2,-250
100,-100,-100,11,5,-250
-100,100,-100,4,1,-250
